IBOV - Carteira do Dia 13/09/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALPA4;ALPARGATAS;PN      N1;167.963.777;0,414;
ABEV3;AMBEV S/A;ON;4.358.814.864;3,120;
AMER3;AMERICANAS;ON      NM;546.064.815;0,959;
ASAI3;ASSAI;ON      NM;794.116.430;0,642;
AZUL4;AZUL;PN      N2;327.741.172;0,509;
B3SA3;B3;ON      NM;6.079.530.858;3,732;
BIDI4;BANCO INTER;PN      N2;186.303.277;0,165;
BIDI11;BANCO INTER;UNT     N2;477.617.336;1,306;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,239;
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;0,569;
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,325;
BBDC3;BRADESCO;ON  EJ  N1;1.378.842.305;1,110;
BBDC4;BRADESCO;PN  EJ  N1;4.691.427.537;4,367;
BRAP4;BRADESPAR;PN      N1;222.604.507;0,596;
BBAS3;BRASIL;ON      NM;1.420.530.937;1,831;
BRKM5;BRASKEM;PNA     N1;264.642.296;0,790;
BRFS3;BRF SA;ON      NM;811.759.800;0,871;
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;1,558;
CRFB3;CARREFOUR BR;ON      NM;410.988.561;0,337;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,584;
CMIG4;CEMIG;PN      N1;1.114.214.662;0,667;
HGTX3;CIA HERING;ON      NM;117.608.748;0,185;
CIEL3;CIELO;ON      NM;1.144.359.228;0,125;
COGN3;COGNA ON;ON      NM;1.847.994.874;0,247;
CPLE6;COPEL;PNB     N1;1.563.365.506;0,490;
CSAN3;COSAN;ON      NM;1.169.237.744;1,136;
CPFE3;CPFL ENERGIA;ON  ED  NM;187.732.538;0,233;
CVCB3;CVC BRASIL;ON      NM;224.571.661;0,203;
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,237;
DXCO3;DEXCO;ON      NM;272.062.873;0,228;
ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,144;
ELET3;ELETROBRAS;ON      N1;358.028.908;0,579;
ELET6;ELETROBRAS;PNB     N1;242.987.127;0,400;
EMBR3;EMBRAER;ON      NM;734.558.205;0,692;
ENBR3;ENERGIAS BR;ON      NM;231.489.471;0,185;
ENGI11;ENERGISA;UNT     N2;248.542.219;0,477;
ENEV3;ENEVA;ON      NM;1.261.568.398;0,890;
EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0,439;
EQTL3;EQUATORIAL;ON      NM;1.010.511.085;1,116;
EZTC3;EZTEC;ON      NM;101.618.236;0,115;
FLRY3;FLEURY;ON      NM;303.005.900;0,318;
GGBR4;GERDAU;PN      N1;1.097.534.498;1,332;
GOAU4;GERDAU MET;PN      N1;698.275.321;0,388;
GOLL4;GOL;PN      N2;167.095.214;0,141;
NTCO3;GRUPO NATURA;ON      NM;843.870.809;1,891;
HAPV3;HAPVIDA;ON      NM;1.306.939.210;0,852;
HYPE3;HYPERA;ON      NM;411.803.359;0,631;
IGTA3;IGUATEMI;ON      NM;85.748.277;0,124;
GNDI3;INTERMEDICA;ON      NM;592.114.608;2,139;
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,291;
ITSA4;ITAUSA;PN  ED  N1;4.515.559.175;2,204;
ITUB4;ITAUUNIBANCO;PN  ED  N1;4.780.002.924;6,122;
JBSS3;JBS;ON      NM;1.346.828.080;1,931;
JHSF3;JHSF PART;ON      NM;305.915.142;0,084;
KLBN11;KLABIN S/A;UNT     N2;812.994.397;0,917;
RENT3;LOCALIZA;ON      NM;593.944.309;1,512;
LCAM3;LOCAMERICA;ON      NM;324.522.975;0,365;
LWSA3;LOCAWEB;ON      NM;431.783.548;0,437;
LAME4;LOJAS AMERIC;PN      N1;853.524.256;0,214;
LREN3;LOJAS RENNER;ON      NM;889.725.318;1,431;
MGLU3;MAGAZ LUIZA;ON      NM;2.820.185.158;2,154;
MRFG3;MARFRIG;ON  ED  NM;348.234.011;0,334;
CASH3;MELIUZ;ON  EB  NM;543.488.802;0,143;
BEEF3;MINERVA;ON      NM;242.962.308;0,098;
MRVE3;MRV;ON      NM;294.643.879;0,176;
MULT3;MULTIPLAN;ON      N2;273.506.645;0,246;
PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,191;
PETR3;PETROBRAS;ON      N2;3.426.385.188;3,971;
PETR4;PETROBRAS;PN      N2;4.566.511.125;5,144;
BRDT3;PETROBRAS BR;ON      NM;1.164.602.565;1,317;
PRIO3;PETRORIO;ON      NM;839.159.130;0,713;
PETZ3;PETZ;ON      NM;258.407.844;0,304;
QUAL3;QUALICORP;ON      NM;283.670.037;0,284;
RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,217;
RDOR3;REDE D OR;ON  EDJ NM;320.214.380;0,968;
RAIL3;RUMO S.A.;ON      NM;1.216.056.103;0,979;
SBSP3;SABESP;ON      NM;340.001.934;0,514;
SANB11;SANTANDER BR;UNT;362.703.399;0,594;
CSNA3;SID NACIONAL;ON;642.398.790;0,964;
SULA11;SUL AMERICA;UNT     N2;284.771.028;0,363;
SUZB3;SUZANO S.A.;ON      NM;726.779.281;1,960;
TAEE11;TAESA;UNT     N2;218.568.234;0,359;
VIVT3;TELEF BRASIL;ON;443.933.052;0,833;
TIMS3;TIM;ON      NM;808.619.532;0,432;
TOTS3;TOTVS;ON      NM;480.960.677;0,817;
UGPA3;ULTRAPAR;ON      NM;1.084.337.016;0,688;
USIM5;USIMINAS;PNA EDJ N1;514.680.651;0,351;
VALE3;VALE;ON      NM;3.380.233.503;14,248;
VIIA3;VIA;ON      NM;1.595.895.585;0,640;
WEGE3;WEG;ON      NM;1.484.859.030;2,552;
YDUQ3;YDUQS PART;ON      NM;300.833.122;0,310;
Quantidade Teórica Total;;;91.231.395.716;100,000
Redutor;;;19.681.911,38095409
