"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.12.2020","1.905,80","1.910,00","1.915,20","1.902,90","0,73K","0,09%"
"30.12.2020","1.904,00","1.896,50","1.906,40","1.891,20","0,66K","0,56%"
"29.12.2020","1.893,40","1.893,20","1.900,30","1.890,50","0,37K","0,14%"
"28.12.2020","1.890,80","1.900,80","1.912,00","1.885,80","0,54K","-0,12%"
"24.12.2020","1.893,10","1.888,90","1.897,00","1.886,90","0,18K","0,29%"
"23.12.2020","1.887,60","1.881,50","1.892,30","1.872,60","0,44K","0,40%"
"22.12.2020","1.880,00","1.891,10","1.892,00","1.875,60","0,69K","-0,64%"
"21.12.2020","1.892,20","1.916,40","1.920,90","1.872,00","0,56K","-0,32%"
"18.12.2020","1.898,20","1.893,60","1.903,70","1.892,10","0,57K","-0,07%"
"17.12.2020","1.899,50","1.876,10","1.910,00","1.876,10","0,35K","1,69%"
"16.12.2020","1.867,90","1.871,20","1.876,00","1.864,90","0,85K","0,16%"
"15.12.2020","1.864,90","1.850,20","1.865,70","1.850,20","0,50K","1,25%"
"14.12.2020","1.841,90","1.848,30","1.849,10","1.830,00","0,68K","-0,60%"
"11.12.2020","1.853,10","1.848,90","1.859,50","1.836,60","2,14K","0,34%"
"10.12.2020","1.846,90","1.849,60","1.857,10","1.840,80","2,72K","-0,04%"
"09.12.2020","1.847,70","1.883,10","1.883,10","1.844,00","1,66K","-1,94%"
"08.12.2020","1.884,20","1.877,00","1.886,60","1.874,50","1,91K","0,47%"
"07.12.2020","1.875,30","1.847,90","1.880,40","1.834,20","2,15K","1,42%"
"04.12.2020","1.849,00","1.850,00","1.860,40","1.842,80","0,91K","0,00%"
"03.12.2020","1.849,00","1.843,60","1.854,40","1.836,10","0,91K","0,58%"
"02.12.2020","1.838,40","1.820,60","1.843,00","1.820,60","1,15K","0,58%"
"01.12.2020","1.827,80","1.789,40","1.829,70","1.789,40","1,45K","2,10%"
"30.11.2020","1.790,20","1.798,80","1.798,80","1.776,60","0,89K","-0,41%"
"27.11.2020","1.797,50","1.824,00","1.826,40","1.787,00","0,55K","-0,53%"
"26.11.2020","1.807,00","1.806,25","1.816,80","1.804,20","-","-0,73%"
"25.11.2020","1.820,20","1.821,70","1.829,90","1.818,40","0,74K","-0,02%"
"24.11.2020","1.820,60","1.850,80","1.851,20","1.817,50","0,74K","-1,82%"
"23.11.2020","1.854,30","1.885,20","1.889,60","1.846,50","0,78K","-1,80%"
"20.11.2020","1.888,20","1.882,70","1.894,00","1.881,70","0,28K","0,58%"
"19.11.2020","1.877,40","1.873,30","1.877,50","1.870,00","0,17K","-0,64%"
"18.11.2020","1.889,50","1.892,50","1.893,60","1.882,00","0,58K","-0,69%"
"17.11.2020","1.902,60","1.906,20","1.906,20","1.903,50","0,42K","-0,18%"
"16.11.2020","1.906,00","1.903,10","1.904,70","1.903,00","0,22K","-0,02%"
"13.11.2020","1.906,30","1.894,90","1.913,90","1.894,90","0,45K","0,68%"
