"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2020","20,06","20,03","20,12","19,93","45,15M","0,26%"
"29.12.2020","20,01","19,92","20,06","19,75","17,23M","0,52%"
"28.12.2020","19,90","19,47","19,90","19,35","19,55M","2,52%"
"23.12.2020","19,41","19,55","19,69","19,39","15,76M","-0,48%"
"22.12.2020","19,51","19,24","19,54","19,08","22,59M","2,17%"
"21.12.2020","19,09","18,93","19,35","18,69","30,85M","-1,83%"
"18.12.2020","19,45","19,57","19,77","19,33","36,58M","-0,58%"
"17.12.2020","19,56","19,61","19,92","19,42","36,08M","-0,17%"
"16.12.2020","19,60","19,05","19,78","18,95","62,85M","2,84%"
"15.12.2020","19,06","18,89","19,17","18,76","28,74M","1,03%"
"14.12.2020","18,86","19,18","19,22","18,65","23,91M","-0,95%"
"11.12.2020","19,04","18,80","19,15","18,52","33,92M","1,08%"
"10.12.2020","18,84","18,40","18,88","17,75","54,66M","2,75%"
"09.12.2020","18,33","18,71","18,82","18,21","48,15M","-2,53%"
"08.12.2020","18,81","18,92","19,02","18,62","27,85M","-0,58%"
"07.12.2020","18,92","18,91","19,13","18,60","33,07M","-0,53%"
"04.12.2020","19,02","19,14","19,24","18,75","32,81M","-0,20%"
"03.12.2020","19,06","19,38","19,55","18,92","45,52M","-1,19%"
"02.12.2020","19,29","18,38","19,30","18,37","54,27M","4,97%"
"01.12.2020","18,38","18,38","18,51","18,18","31,75M","1,16%"
"30.11.2020","18,17","18,32","18,45","18,07","65,48M","-1,35%"
"27.11.2020","18,41","18,48","18,54","18,24","32,99M","-0,18%"
"26.11.2020","18,45","18,22","18,48","18,08","22,24M","0,69%"
"25.11.2020","18,32","18,01","18,36","17,94","33,80M","1,63%"
"24.11.2020","18,03","17,48","18,03","17,27","42,84M","2,98%"
"23.11.2020","17,51","17,68","17,80","17,35","24,29M","-0,84%"
"20.11.2020","17,65","17,83","17,90","17,55","59,92M","-1,39%"
"19.11.2020","17,90","17,56","17,90","17,42","49,60M","2,35%"
"18.11.2020","17,49","17,31","17,76","17,16","60,34M","0,93%"
"17.11.2020","17,33","17,28","17,44","17,11","50,18M","0,28%"
"16.11.2020","17,28","17,56","17,76","17,09","57,35M","-0,56%"
"13.11.2020","17,38","17,59","17,67","17,00","83,55M","-0,15%"
"12.11.2020","17,41","17,98","18,03","17,26","47,86M","-2,92%"
"11.11.2020","17,93","17,62","18,11","17,45","34,10M","2,40%"
"10.11.2020","17,51","17,43","18,16","17,35","49,91M","0,46%"
"09.11.2020","17,43","18,66","18,87","17,29","67,88M","-4,89%"
"06.11.2020","18,32","18,07","18,41","17,90","25,61M","0,00%"
"05.11.2020","18,32","17,80","18,33","17,80","53,38M","4,64%"
"04.11.2020","17,51","16,67","17,55","16,66","45,34M","6,14%"
"03.11.2020","16,50","16,76","16,93","16,36","36,48M","-0,16%"
"30.10.2020","16,52","16,99","17,06","16,41","35,42M","-3,64%"
"29.10.2020","17,15","16,41","17,31","16,30","54,43M","3,21%"
"28.10.2020","16,61","16,73","16,96","16,45","52,99M","-2,69%"
"27.10.2020","17,07","17,77","17,87","17,05","50,37M","-4,06%"
"26.10.2020","17,79","17,72","18,08","17,43","26,82M","0,33%"
"23.10.2020","17,74","18,16","18,19","17,66","34,54M","-2,27%"
"22.10.2020","18,15","18,62","18,66","18,10","44,10M","-2,27%"
"21.10.2020","18,57","18,63","18,93","18,49","25,68M","-0,92%"
"20.10.2020","18,74","18,18","18,74","18,17","42,22M","3,14%"
"19.10.2020","18,17","17,65","18,43","17,64","35,02M","3,31%"
"16.10.2020","17,59","17,82","18,14","17,57","29,82M","-2,28%"
"15.10.2020","18,00","17,82","18,11","17,71","29,17M","-1,37%"
"14.10.2020","18,25","17,88","18,38","17,81","38,18M","2,88%"
"13.10.2020","17,74","17,82","17,89","17,55","25,53M","0,16%"
"09.10.2020","17,71","17,68","17,93","17,49","22,58M","-0,26%"
"08.10.2020","17,75","17,47","17,80","17,38","35,80M","2,12%"
"07.10.2020","17,38","17,56","17,70","17,22","46,01M","-0,09%"
"06.10.2020","17,40","18,20","18,27","17,29","41,17M","-3,57%"
"05.10.2020","18,04","17,25","18,07","17,21","34,46M","4,68%"
"02.10.2020","17,24","17,52","17,93","17,17","32,08M","-2,33%"
"01.10.2020","17,65","17,91","17,91","17,41","34,49M","-0,87%"
"30.09.2020","17,80","17,54","17,98","17,47","32,13M","2,53%"
"29.09.2020","17,36","17,81","18,18","17,26","42,81M","-2,47%"
"28.09.2020","17,80","18,83","18,86","17,66","43,33M","-4,08%"
"25.09.2020","18,56","18,70","18,75","18,32","24,75M","-1,42%"
"24.09.2020","18,83","17,79","18,90","17,77","50,95M","5,51%"
"23.09.2020","17,84","18,13","18,38","17,70","29,79M","-2,56%"
"22.09.2020","18,31","17,91","18,45","17,79","28,02M","2,25%"
"21.09.2020","17,91","17,58","17,91","17,38","34,06M","-0,05%"
"18.09.2020","17,92","17,93","18,49","17,72","50,80M","-0,97%"
"17.09.2020","18,10","17,97","18,16","17,83","25,40M","-0,60%"
"16.09.2020","18,20","18,38","18,48","18,18","21,55M","-0,45%"
"15.09.2020","18,29","18,80","18,83","18,25","22,53M","-2,47%"
"14.09.2020","18,75","18,15","18,79","18,08","33,82M","4,84%"
"11.09.2020","17,89","17,91","18,17","17,72","32,75M","0,04%"
"10.09.2020","17,88","18,61","18,61","17,83","32,88M","-3,88%"
"09.09.2020","18,60","18,44","18,71","18,08","32,39M","2,14%"
"08.09.2020","18,21","18,23","18,55","18,01","29,55M","-2,21%"
"04.09.2020","18,62","18,52","18,62","17,91","90,80M","0,88%"
"03.09.2020","18,46","19,22","19,37","17,97","77,41M","-3,59%"
"02.09.2020","19,15","19,19","19,27","18,84","21,49M","-0,13%"
"01.09.2020","19,17","18,95","19,25","18,92","37,61M","2,13%"
"31.08.2020","18,77","19,33","19,35","18,72","53,10M","-3,64%"
"28.08.2020","19,48","19,32","19,59","19,19","21,90M","1,23%"
"27.08.2020","19,25","19,35","19,52","19,00","26,79M","-0,36%"
