"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2020","24,58","25,02","25,12","24,58","24,24M","-1,42%"
"29.12.2020","24,93","25,19","25,25","24,78","24,41M","-0,16%"
"28.12.2020","24,97","25,07","25,21","24,91","41,31M","0,97%"
"23.12.2020","24,73","24,37","24,89","24,23","28,99M","2,29%"
"22.12.2020","24,18","23,87","24,31","23,87","35,02M","2,03%"
"21.12.2020","23,69","23,73","24,17","23,67","64,01M","-2,42%"
"18.12.2020","24,28","24,20","24,61","24,10","49,18M","0,18%"
"17.12.2020","24,24","24,44","24,60","24,03","41,79M","0,48%"
"16.12.2020","24,12","23,70","24,51","23,47","51,82M","2,27%"
"15.12.2020","23,59","23,77","24,02","23,59","30,15M","0,00%"
"14.12.2020","23,59","23,86","24,09","23,59","33,12M","-0,53%"
"11.12.2020","23,71","23,55","23,93","23,34","44,05M","-0,78%"
"10.12.2020","23,90","23,15","24,00","23,14","67,93M","4,12%"
"09.12.2020","22,95","22,89","23,12","22,78","35,56M","0,27%"
"08.12.2020","22,89","23,10","23,49","22,78","37,62M","-1,19%"
"07.12.2020","23,17","22,89","23,63","22,78","38,27M","0,66%"
"04.12.2020","23,02","23,21","23,27","22,70","43,73M","0,86%"
"03.12.2020","22,82","23,11","23,84","22,77","60,23M","-1,31%"
"02.12.2020","23,12","23,11","23,27","22,69","49,37M","1,09%"
"01.12.2020","22,87","22,10","23,35","22,05","71,04M","5,60%"
"30.11.2020","21,66","21,87","22,13","21,60","55,95M","-1,38%"
"27.11.2020","21,96","22,32","22,58","21,96","36,40M","-0,81%"
"26.11.2020","22,14","22,40","22,44","22,02","22,90M","-1,62%"
"25.11.2020","22,51","22,75","22,89","22,27","46,56M","-1,29%"
"24.11.2020","22,80","22,04","23,13","22,03","81,26M","4,49%"
"23.11.2020","21,82","21,99","22,14","21,72","34,44M","0,45%"
"20.11.2020","21,72","21,90","22,10","21,53","29,35M","-1,10%"
"19.11.2020","21,96","21,96","22,38","21,88","36,21M","0,08%"
"18.11.2020","21,95","22,56","22,66","21,95","55,72M","-3,07%"
"17.11.2020","22,64","22,29","22,64","22,04","69,70M","0,59%"
"16.11.2020","22,51","22,01","22,55","21,94","107,87M","4,38%"
"13.11.2020","21,56","21,05","21,56","20,80","61,10M","3,55%"
"12.11.2020","20,82","21,66","21,68","20,69","60,45M","-3,95%"
"11.11.2020","21,68","21,72","21,92","21,06","83,87M","-0,41%"
"10.11.2020","21,77","20,52","21,95","20,52","149,39M","6,45%"
"09.11.2020","20,45","19,75","20,73","19,49","131,58M","9,50%"
"06.11.2020","18,68","18,50","18,76","18,45","43,38M","-0,24%"
"05.11.2020","18,72","18,76","18,84","18,30","54,46M","1,55%"
"04.11.2020","18,43","18,90","18,93","18,09","78,91M","-0,73%"
"03.11.2020","18,57","18,29","18,72","18,11","63,75M","3,42%"
"30.10.2020","17,95","18,21","18,44","17,75","62,27M","-3,03%"
"29.10.2020","18,52","18,52","18,61","17,79","107,11M","-1,00%"
"28.10.2020","18,70","19,42","19,42","18,67","72,76M","-5,66%"
"27.10.2020","19,83","20,83","20,93","19,70","84,80M","-2,79%"
"26.10.2020","20,40","20,03","20,50","19,98","42,74M","1,24%"
"23.10.2020","20,15","20,31","20,80","19,99","70,16M","-0,44%"
"22.10.2020","20,23","19,33","20,40","19,33","73,39M","4,60%"
"21.10.2020","19,34","19,15","19,61","18,92","69,23M","1,02%"
"20.10.2020","19,15","18,52","19,33","18,52","70,95M","4,32%"
"19.10.2020","18,36","18,25","18,77","18,09","56,81M","1,38%"
"16.10.2020","18,11","18,39","18,41","18,11","25,61M","-1,98%"
"15.10.2020","18,47","18,32","18,76","18,24","37,06M","-0,67%"
"14.10.2020","18,60","18,64","18,77","18,54","31,09M","0,10%"
"13.10.2020","18,58","18,55","18,75","18,36","32,84M","0,58%"
"09.10.2020","18,47","18,22","18,83","18,00","78,78M","0,44%"
"08.10.2020","18,39","17,51","18,50","17,46","71,97M","5,14%"
"07.10.2020","17,49","17,79","17,83","17,44","32,22M","-1,06%"
"06.10.2020","17,68","17,95","18,13","17,56","33,28M","-0,35%"
"05.10.2020","17,74","17,56","17,87","17,24","37,82M","1,43%"
"02.10.2020","17,49","17,29","18,12","17,22","56,60M","0,82%"
"01.10.2020","17,35","17,31","17,42","17,10","26,21M","0,46%"
"30.09.2020","17,27","17,22","17,43","17,14","35,21M","0,83%"
"29.09.2020","17,13","17,57","17,60","17,07","50,56M","-2,38%"
"28.09.2020","17,55","17,84","18,33","17,44","75,33M","-0,30%"
"25.09.2020","17,60","17,52","17,60","17,32","18,79M","-0,10%"
"24.09.2020","17,62","17,30","17,77","17,25","37,24M","1,90%"
"23.09.2020","17,29","17,57","17,70","17,26","28,87M","-2,36%"
"22.09.2020","17,71","17,63","17,92","17,51","27,36M","0,61%"
"21.09.2020","17,60","17,53","17,69","17,35","52,27M","-1,49%"
"18.09.2020","17,87","18,21","18,25","17,83","67,63M","-2,38%"
"17.09.2020","18,30","18,04","18,39","18,01","27,92M","0,24%"
"16.09.2020","18,26","18,22","18,56","18,15","38,91M","0,20%"
"15.09.2020","18,22","18,46","18,48","18,05","40,88M","-1,06%"
"14.09.2020","18,42","18,38","18,49","17,99","62,13M","1,17%"
"11.09.2020","18,20","18,60","18,64","18,09","42,48M","-1,87%"
"10.09.2020","18,55","19,15","19,27","18,52","50,32M","-3,29%"
