"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2020","31,14","31,70","31,83","31,14","25,64M","-1,46%"
"29.12.2020","31,60","31,77","31,89","31,44","16,38M","-0,22%"
"28.12.2020","31,67","31,72","31,93","31,51","15,44M","0,73%"
"23.12.2020","31,44","30,83","31,55","30,79","19,96M","2,18%"
"22.12.2020","30,77","30,69","31,16","30,67","19,66M","0,49%"
"21.12.2020","30,62","30,57","31,01","30,43","26,01M","-1,76%"
"18.12.2020","31,17","31,23","31,62","31,02","31,71M","-0,16%"
"17.12.2020","31,22","31,40","31,65","31,08","17,86M","-0,13%"
"16.12.2020","31,26","30,76","31,68","30,54","41,21M","1,89%"
"15.12.2020","30,68","30,49","30,91","30,45","25,05M","0,92%"
"14.12.2020","30,40","30,98","31,14","30,40","26,75M","-1,33%"
"11.12.2020","30,81","30,69","30,99","30,33","24,01M","-0,61%"
"10.12.2020","31,00","30,22","31,17","30,22","50,47M","3,30%"
"09.12.2020","30,01","29,86","30,20","29,76","31,58M","0,60%"
"08.12.2020","29,83","29,91","30,59","29,66","27,83M","-0,27%"
"07.12.2020","29,91","29,72","30,52","29,50","30,66M","0,61%"
"04.12.2020","29,73","29,69","29,88","29,13","35,10M","0,99%"
"03.12.2020","29,44","29,61","30,34","29,38","39,89M","-0,07%"
"02.12.2020","29,46","29,40","29,71","28,92","32,15M","0,79%"
"01.12.2020","29,23","28,54","29,94","28,43","51,36M","4,17%"
"30.11.2020","28,06","28,46","28,69","28,06","59,89M","-1,37%"
"27.11.2020","28,45","28,54","29,27","28,39","44,15M","0,74%"
"26.11.2020","28,24","28,78","28,83","28,12","30,68M","-2,11%"
"25.11.2020","28,85","29,10","29,27","28,42","42,23M","-1,16%"
"24.11.2020","29,19","28,59","29,65","28,59","47,66M","2,82%"
"23.11.2020","28,39","28,35","28,70","28,23","27,58M","1,21%"
"20.11.2020","28,05","28,22","28,47","27,89","18,24M","-0,92%"
"19.11.2020","28,31","28,39","28,89","28,17","26,62M","0,14%"
"18.11.2020","28,27","28,92","29,05","28,21","41,35M","-2,42%"
"17.11.2020","28,97","28,86","29,09","28,39","40,60M","0,07%"
"16.11.2020","28,95","28,51","29,07","28,39","54,01M","3,50%"
"13.11.2020","27,97","27,68","28,10","27,50","36,85M","1,89%"
"12.11.2020","27,45","27,92","28,35","27,11","46,07M","-2,45%"
"11.11.2020","28,14","28,26","28,49","27,72","61,52M","-0,81%"
"10.11.2020","28,37","27,17","28,64","27,17","85,15M","4,49%"
"09.11.2020","27,15","26,27","27,53","26,27","100,11M","8,12%"
"06.11.2020","25,11","24,91","25,37","24,82","31,83M","-0,12%"
"05.11.2020","25,14","25,06","25,49","24,97","44,13M","2,36%"
"04.11.2020","24,56","25,05","25,29","24,43","96,99M","3,98%"
"03.11.2020","23,62","23,48","23,89","23,30","37,44M","2,47%"
"30.10.2020","23,05","23,22","23,50","22,81","38,99M","-1,79%"
"29.10.2020","23,47","23,15","23,60","22,62","42,75M","0,51%"
"28.10.2020","23,35","23,81","23,98","23,30","38,40M","-4,46%"
"27.10.2020","24,44","25,63","25,70","24,24","46,80M","-2,86%"
"26.10.2020","25,16","24,84","25,39","24,70","32,01M","0,72%"
"23.10.2020","24,98","25,43","25,82","24,95","50,33M","-1,26%"
"22.10.2020","25,30","24,12","25,45","24,11","66,12M","5,11%"
"21.10.2020","24,07","23,82","24,49","23,63","37,94M","0,92%"
"20.10.2020","23,85","23,09","23,96","23,07","45,53M","3,97%"
"19.10.2020","22,94","22,83","23,52","22,52","38,17M","1,10%"
"16.10.2020","22,69","22,99","23,03","22,67","21,15M","-1,60%"
"15.10.2020","23,06","23,03","23,30","22,84","21,67M","-0,90%"
"14.10.2020","23,27","23,46","23,54","23,23","21,76M","-0,30%"
"13.10.2020","23,34","23,55","23,69","23,19","30,72M","-0,98%"
"09.10.2020","23,57","23,47","24,16","23,16","48,82M","-0,25%"
"08.10.2020","23,63","22,31","23,84","22,19","62,88M","6,01%"
"07.10.2020","22,29","22,51","22,58","22,16","22,68M","-0,76%"
"06.10.2020","22,46","22,67","22,96","22,30","21,00M","0,18%"
"05.10.2020","22,42","22,31","22,59","21,94","22,69M","1,08%"
"02.10.2020","22,18","21,95","22,90","21,94","35,13M","0,32%"
"01.10.2020","22,11","22,14","22,19","21,78","20,28M","0,14%"
"30.09.2020","22,08","22,16","22,26","21,95","22,15M","0,45%"
"29.09.2020","21,98","22,47","22,48","21,88","26,96M","-2,18%"
"28.09.2020","22,47","22,81","23,45","22,16","58,11M","-0,04%"
"25.09.2020","22,48","22,38","22,55","22,20","21,67M","-0,53%"
"24.09.2020","22,60","22,08","22,90","22,00","39,75M","2,45%"
"23.09.2020","22,06","22,49","22,70","22,05","24,44M","-2,69%"
"22.09.2020","22,67","22,42","22,87","22,33","27,09M","0,89%"
"21.09.2020","22,47","22,32","22,59","22,03","36,48M","-0,88%"
"18.09.2020","22,67","23,06","23,18","22,60","38,51M","-2,49%"
"17.09.2020","23,25","23,06","23,38","22,95","24,97M","0,13%"
"16.09.2020","23,22","23,31","23,77","23,20","25,41M","-0,26%"
"15.09.2020","23,28","23,72","23,78","23,16","29,07M","-1,36%"
"14.09.2020","23,60","23,34","23,77","22,88","43,21M","1,77%"
"11.09.2020","23,19","23,50","23,62","22,99","23,11M","-1,15%"
"10.09.2020","23,46","23,94","24,20","23,45","35,83M","-2,13%"
"09.09.2020","23,97","24,14","24,34","23,71","29,58M","0,13%"
"08.09.2020","23,94","24,10","24,30","23,81","29,12M","-2,25%"
"04.09.2020","24,49","24,69","24,82","24,09","41,55M","0,33%"
"03.09.2020","24,41","23,75","25,02","23,71","80,85M","2,43%"
"02.09.2020","23,83","23,89","23,99","23,45","24,96M","-0,21%"
"01.09.2020","23,88","23,42","23,88","23,28","55,98M","3,42%"
"31.08.2020","23,09","23,70","23,82","23,09","44,63M","-3,63%"
"28.08.2020","23,96","23,83","24,08","23,68","55,96M","1,05%"
"27.08.2020","23,71","23,43","24,02","23,34","35,07M","1,63%"
"26.08.2020","23,33","23,83","23,89","23,05","30,40M","-2,10%"
"25.08.2020","23,83","24,16","24,22","23,65","31,87M","-0,75%"
"24.08.2020","24,01","23,78","24,35","23,76","33,10M","1,69%"
"21.08.2020","23,61","23,45","23,77","23,35","23,63M","-0,17%"
"20.08.2020","23,65","23,24","23,77","23,08","33,04M","0,00%"
