"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2020","87,45","87,19","87,59","86,65","30,10M","0,44%"
"29.12.2020","87,07","87,97","88,20","86,51","19,73M","-0,27%"
"28.12.2020","87,31","87,79","88,58","87,08","26,00M","-0,06%"
"23.12.2020","87,36","86,53","87,53","86,40","17,71M","0,48%"
"22.12.2020","86,94","86,86","86,99","85,43","23,16M","0,09%"
"21.12.2020","86,86","86,15","87,40","84,78","31,88M","-1,07%"
"18.12.2020","87,80","87,62","88,38","87,43","23,84M","0,69%"
"17.12.2020","87,20","86,50","87,95","86,17","21,37M","1,14%"
"16.12.2020","86,22","84,90","86,23","84,36","23,04M","2,04%"
"15.12.2020","84,50","84,16","85,38","84,01","18,76M","1,14%"
"14.12.2020","83,55","85,20","85,22","82,95","20,93M","-1,54%"
"11.12.2020","84,86","84,62","85,28","84,40","25,14M","-0,16%"
"10.12.2020","85,00","83,65","85,22","83,20","41,23M","2,78%"
"09.12.2020","82,70","83,10","83,83","82,22","26,94M","-0,24%"
"08.12.2020","82,90","82,97","83,30","81,66","28,60M","-0,06%"
"07.12.2020","82,95","82,42","82,99","81,67","27,40M","1,18%"
"04.12.2020","81,98","80,10","82,68","80,10","48,66M","3,82%"
"03.12.2020","78,96","81,00","81,05","78,61","35,16M","-1,10%"
"02.12.2020","79,84","80,90","81,25","77,31","53,70M","-1,74%"
"01.12.2020","81,25","79,83","81,50","79,25","61,44M","4,17%"
"30.11.2020","78,00","78,85","79,36","77,12","48,59M","-0,56%"
"27.11.2020","78,44","77,00","78,78","76,77","48,97M","2,44%"
"26.11.2020","76,57","75,42","76,60","75,40","20,36M","1,42%"
"25.11.2020","75,50","73,80","75,90","73,61","36,27M","0,94%"
"24.11.2020","74,80","71,05","74,89","70,18","49,91M","4,92%"
"23.11.2020","71,29","68,81","71,32","68,50","38,66M","4,16%"
"20.11.2020","68,44","67,93","68,44","67,45","23,06M","1,06%"
"19.11.2020","67,72","66,71","67,72","66,47","25,91M","1,91%"
"18.11.2020","66,45","66,99","67,39","66,07","22,85M","-0,78%"
"17.11.2020","66,97","64,80","68,10","64,80","62,48M","3,16%"
"16.11.2020","64,92","63,50","65,34","62,97","91,48M","2,64%"
"13.11.2020","63,25","62,73","63,55","62,61","25,08M","0,93%"
"12.11.2020","62,67","63,57","63,77","62,46","23,73M","-1,46%"
"11.11.2020","63,60","63,18","63,92","63,00","25,91M","0,70%"
"10.11.2020","63,16","63,24","63,59","62,69","53,96M","-0,05%"
"09.11.2020","63,19","64,15","64,27","62,87","37,73M","0,00%"
"06.11.2020","63,19","62,38","63,96","62,34","26,45M","1,02%"
"05.11.2020","62,55","62,30","63,06","61,45","25,56M","1,58%"
"04.11.2020","61,58","63,28","63,28","61,45","27,93M","-2,78%"
"03.11.2020","63,34","61,90","63,34","61,22","32,90M","4,61%"
"30.10.2020","60,55","61,80","62,41","60,01","27,37M","-2,37%"
"29.10.2020","62,02","60,97","62,24","59,79","37,77M","2,92%"
"28.10.2020","60,26","61,95","62,07","60,25","23,46M","-3,63%"
"27.10.2020","62,53","62,50","62,90","62,06","17,96M","0,05%"
"26.10.2020","62,50","62,90","63,45","62,01","18,16M","-1,50%"
"23.10.2020","63,45","62,62","63,89","62,22","24,12M","0,55%"
"22.10.2020","63,10","63,11","63,49","62,44","31,96M","0,40%"
"21.10.2020","62,85","61,65","63,21","61,60","21,39M","1,63%"
"20.10.2020","61,84","61,78","62,29","61,33","25,17M","-0,18%"
"19.10.2020","61,95","62,73","63,18","61,95","29,03M","-0,47%"
"16.10.2020","62,24","62,70","63,10","62,24","15,78M","-0,37%"
"15.10.2020","62,47","62,41","62,86","61,98","16,25M","-0,84%"
"14.10.2020","63,00","62,08","63,29","62,04","21,97M","1,38%"
"13.10.2020","62,14","61,27","62,64","61,03","18,44M","0,88%"
"09.10.2020","61,60","61,69","61,94","60,85","21,00M","0,51%"
"08.10.2020","61,29","60,35","61,49","60,06","22,08M","1,86%"
"07.10.2020","60,17","59,14","60,76","58,96","27,08M","2,64%"
"06.10.2020","58,62","60,01","60,28","58,21","21,78M","-1,63%"
"05.10.2020","59,59","58,90","59,84","58,75","17,77M","2,18%"
"02.10.2020","58,32","58,61","59,44","58,11","23,10M","-0,92%"
"01.10.2020","58,86","59,53","59,85","58,02","22,60M","-0,42%"
"30.09.2020","59,11","59,21","60,27","58,75","25,79M","1,30%"
"29.09.2020","58,35","58,73","59,96","58,35","26,07M","-0,73%"
"28.09.2020","58,78","59,94","60,24","58,70","30,05M","-0,79%"
"25.09.2020","59,25","58,35","59,45","58,20","27,50M","1,01%"
"24.09.2020","58,66","59,69","59,78","58,44","31,45M","-0,74%"
"23.09.2020","59,10","57,67","59,61","57,06","37,21M","2,23%"
"22.09.2020","57,81","58,14","58,28","57,15","23,79M","0,38%"
"21.09.2020","57,59","58,60","58,93","57,05","52,85M","-2,69%"
