DATA_PREGAO,SP500,BOVESPA,OURO,PETROLEO,FERRO,DOLAR,SELIC,SP500_MM_30,BOVESPA_MM_30,OURO_MM_30,PETROLEO_MM_30,FERRO_MM_30,DOLAR_MM_30,SELIC_MM_30,SP500_FECHAMENTO_ANTERIOR,BOVESPA_FECHAMENTO_ANTERIOR,OURO_FECHAMENTO_ANTERIOR,PETROLEO_FECHAMENTO_ANTERIOR,FERRO_FECHAMENTO_ANTERIOR,DOLAR_FECHAMENTO_ANTERIOR,SELIC_FECHAMENTO_ANTERIOR,SP500_RESULT_30,BOVESPA_RESULT_30,OURO_RESULT_30,PETROLEO_RESULT_30,FERRO_RESULT_30,DOLAR_RESULT_30,SELIC_RESULT_30,SP500_RESULT_DIFF,BOVESPA_RESULT_DIFF,OURO_RESULT_DIFF,DOLAR_RESULT_DIFF,SELIC_RESULT_DIFF,RESULTADO
2011-02-17,1340.43,67685.0,1384.7,102.59,187.5,1.6653,11.25,1296.931,68226.26666666666,1360.5133341471353,98.73433329264323,180.2066670735677,1.671590002377828,11.083333333333334,1336.32,67571.0,1374.7,103.78,187.8,1.6696,11.25,1332.63,69838.0,1451.8,122.22,173.2,1.6079,11.75,-0.581902822228686,3.1809115756814554,4.845822,-3.4468234,4.444444,0
2011-02-18,1343.01,68067.0,1388.2,102.52,187.5,1.6669,11.25,1299.2163333333333,68150.36666666667,1359.25,98.99266662597657,180.79000040690104,1.6720933357874552,11.1,1340.43,67685.0,1384.7,102.59,187.5,1.6653,11.25,1335.54,69037.0,1457.7,122.3,175.0,1.6089,11.75,-0.5562132821051224,1.4250664786166656,5.00648,-3.4795165,4.444444,3
2011-02-22,1315.44,66440.0,1400.5,105.78,187.7,1.6686,11.25,1301.6433333333334,68075.33333333333,1359.573331705729,99.29233322143554,181.30333353678387,1.6724966684977214,11.116666666666667,1343.01,68067.0,1388.2,102.52,187.5,1.6669,11.25,1333.51,69176.0,1458.5,122.67,179.3,1.5919,11.75,1.3736848506963328,4.118001204093913,4.1413784,-4.5966682,4.444444,0
2011-02-23,1307.4,66910.0,1413.4,111.25,187.6,1.6712,11.25,1302.9393333333333,67920.3,1360.4766642252605,99.6349998474121,181.7433334350586,1.672433332602183,11.133333333333333,1315.44,66440.0,1400.5,105.78,187.7,1.6686,11.25,1328.17,68718.0,1473.4,126.65,181.0,1.5754,11.75,1.5886492274743702,2.7021371992228316,4.2450786,-5.7324114,4.444444,0
2011-02-24,1306.1,66949.0,1415.3,111.36,187.5,1.6641,11.25,1304.0576666666666,67798.0,1361.8766642252604,100.19266662597656,182.2133336385091,1.671976665655772,11.15,1307.4,66910.0,1413.4,111.25,187.6,1.6712,11.25,1324.46,68164.0,1467.4,123.98,181.1,1.5797,11.75,1.4057116606691844,1.8148142616021046,3.6811948,-5.0718126,4.444444,0
2011-02-25,1319.88,66903.0,1408.7,112.14,187.5,1.6617,11.25,1305.2109999999998,67694.4,1363.4366658528645,100.79366658528646,182.68000030517578,1.6712700009346009,11.166666666666666,1306.1,66949.0,1415.3,111.36,187.5,1.6641,11.25,1314.16,66896.0,1452.9,120.92,178.9,1.5862,11.75,-0.43337273085432004,-0.010462908987640684,3.137648,-4.543543,4.444444,0
2011-02-28,1327.22,67383.0,1409.3,111.8,187.2,1.6604,11.25,1306.882,67586.93333333333,1364.6033325195312,101.34166666666667,183.14666697184245,1.670313334465027,11.183333333333334,1319.88,66903.0,1408.7,112.14,187.5,1.6617,11.25,1314.41,66486.0,1454.9,122.88,178.8,1.5856,11.75,-0.9651753288829279,-1.3311962958016066,3.23565,-4.504937,4.444444,0
2011-03-01,1306.33,66243.0,1430.7,115.42,173.4,1.6619,11.25,1308.6399999999999,67485.6,1365.4466674804687,101.81466674804688,183.55333353678387,1.6693966706593832,11.2,1327.22,67383.0,1409.3,111.8,187.2,1.6604,11.25,1314.52,66279.0,1471.7,122.36,179.0,1.5834,11.75,0.6269472491637007,0.05434536479325125,2.8657317,-4.723513,4.444444,0
2011-03-02,1308.44,67282.0,1437.2,116.35,172.0,1.6602,11.25,1309.319,67305.93333333333,1366.9466674804687,102.39133326212566,183.46666666666667,1.6689100066820781,11.216666666666667,1306.33,66243.0,1430.7,115.42,173.4,1.6619,11.25,1319.68,66684.0,1485.3,123.45,179.1,1.5768,11.75,0.8590382440157862,-0.8887964091435996,3.346789,-5.0234914,4.444444,0
2011-03-03,1330.97,68146.0,1416.0,114.79,173.0,1.6537,11.75,1310.1416666666667,67191.3,1368.6233317057292,103.0009999593099,183.33333333333334,1.6686066746711732,11.233333333333333,1308.44,67282.0,1437.2,116.35,172.0,1.6602,11.25,1305.14,65415.0,1492.3,121.61,179.2,1.5904,11.75,-1.940689872799528,-4.007571977812341,5.388427,-3.8277805,0.0,3
