DATA_PREGAO,OURO
2020-12-31,1905.8
2020-12-30,1904.0
2020-12-29,1893.4
2020-12-28,1890.8
2020-12-24,1893.1
2020-12-23,1887.6
2020-12-22,1880.0
2020-12-21,1892.2
2020-12-18,1898.2
2020-12-17,1899.5
2020-12-16,1867.9
2020-12-15,1864.9
2020-12-14,1841.9
2020-12-11,1853.1
2020-12-10,1846.9
2020-12-09,1847.7
2020-12-08,1884.2
2020-12-07,1875.3
2020-12-04,1849.0
2020-12-03,1849.0
2020-12-02,1838.4
2020-12-01,1827.8
2020-11-30,1790.2
2020-11-27,1797.5
2020-11-26,1807.0
2020-11-25,1820.2
2020-11-24,1820.6
2020-11-23,1854.3
2020-11-20,1888.2
2020-11-19,1877.4
2020-11-18,1889.5
2020-11-17,1902.6
2020-11-16,1906.0
2020-11-13,1906.3
2020-11-12,1893.5
2020-11-11,1881.1
2020-11-10,1896.9
2020-11-09,1874.5
2020-11-06,1973.0
2020-11-05,1967.3
2020-11-04,1916.1
2020-11-03,1930.1
2020-11-02,1912.5
2020-10-30,1899.9
2020-10-29,1888.2
2020-10-28,1900.0
2020-10-27,1932.9
2020-10-26,1927.1
2020-10-23,1926.4
2020-10-22,1925.7
2020-10-21,1950.3
2020-10-20,1936.3
2020-10-19,1933.0
2020-10-16,1928.3
2020-10-15,1930.8
2020-10-14,1929.8
2020-10-13,1916.7
2020-10-12,1950.7
2020-10-09,1947.8
2020-10-08,1916.8
2020-10-07,1911.6
2020-10-06,1928.3
2020-10-05,1939.0
2020-10-02,1926.6
2020-10-01,1935.4
2020-09-30,1914.6
2020-09-29,1922.1
2020-09-28,1901.0
2020-09-25,1884.8
2020-09-24,1894.9
2020-09-23,1887.0
2020-09-22,1927.5
2020-09-21,1930.0
2020-09-18,1981.9
2020-09-17,1969.3
2020-09-16,1990.7
2020-09-15,1986.4
2020-09-14,1983.9
2020-09-11,1967.4
2020-09-10,1983.2
2020-09-09,1972.9
2020-09-08,1961.8
2020-09-07,1937.1
2020-09-06,1940.65
2020-09-04,1952.8
2020-09-03,1956.0
2020-09-02,1964.5
2020-09-01,1998.8
2020-08-31,1999.1
2020-08-28,1993.2
2020-08-27,1953.1
2020-08-26,1974.4
2020-08-25,1945.2
2020-08-24,1962.3
2020-08-21,1969.6
2020-08-20,1969.5
2020-08-19,1992.5
2020-08-18,2036.2
2020-08-17,2021.6
2020-08-14,1976.8
2020-08-13,1998.3
2020-08-12,1976.5
2020-08-11,1976.1
2020-08-10,2072.4
2020-08-07,2061.4
2020-08-06,2103.2
2020-08-05,2081.7
2020-08-04,2052.6
2020-08-03,2017.7
2020-07-31,2017.1
2020-07-30,1997.7
2020-07-29,2007.7
2020-07-28,1996.6
2020-07-27,1988.3
