DATA_PREGAO,SP500,BOVESPA,BOVESPA_VOLUME,OURO,OURO_VOLUME,PETROLEO,PETROLEO_VOLUME,FERRO,DOLAR,SELIC,SP500_MM_30,BOVESPA_MM_30,BOVESPA_VOLUME_MM_30,OURO_MM_30,OURO_VOLUME_MM_30,PETROLEO_MM_30,PETROLEO_VOLUME_MM_30,FERRO_MM_30,DOLAR_MM_30,SELIC_MM_30,SP500_FECHAMENTO_ANTERIOR,BOVESPA_FECHAMENTO_ANTERIOR,BOVESPA_VOLUME_FECHAMENTO_ANTERIOR,OURO_FECHAMENTO_ANTERIOR,OURO_VOLUME_FECHAMENTO_ANTERIOR,PETROLEO_FECHAMENTO_ANTERIOR,PETROLEO_VOLUME_FECHAMENTO_ANTERIOR,FERRO_FECHAMENTO_ANTERIOR,DOLAR_FECHAMENTO_ANTERIOR,SELIC_FECHAMENTO_ANTERIOR,SP500_RESULT_30,BOVESPA_RESULT_30,BOVESPA_VOLUME_RESULT_30,OURO_RESULT_30,OURO_VOLUME_RESULT_30,PETROLEO_RESULT_30,PETROLEO_VOLUME_RESULT_30,FERRO_RESULT_30,DOLAR_RESULT_30,SELIC_RESULT_30,SP500_RESULT_DIFF,BOVESPA_RESULT_DIFF,OURO_RESULT_DIFF,DOLAR_RESULT_DIFF,SELIC_RESULT_DIFF,RESULTADO
2010-12-20,1247.08,67264.0,2352800.0,1385.5,130.0,92.74,106860.0,169.0,1.7074,10.75,1210.8776666666668,70028.63333333333,1536373.3333333333,1373.6433390299478,309.0,87.65266647338868,162511.0,159.71666717529297,1.703363331158956,10.75,1243.91,67981.0,0.0,1378.6,100.0,91.67,125780.0,169.0,1.709,10.75,1328.01,66341.0,2355400.0,1373.6,320.0,101.64,184710.0,188.9,1.6674,11.25,6.760939296251323,-2.412438769656222,-0.3626883,-2.4341702,4.651165,5
2010-12-21,1254.6,68215.0,1897400.0,1388.2,110.0,93.2,107660.0,169.0,1.6966,10.75,1212.926333333333,69951.43333333333,1486933.3333333333,1375.216670735677,307.0,87.95933303833007,159435.0,160.51666717529298,1.7035499970118204,10.75,1247.08,67264.0,2352800.0,1385.5,130.0,92.74,106860.0,169.0,1.7074,10.75,1336.32,67571.0,2672400.0,1374.7,160.0,103.78,208420.0,187.8,1.6696,11.25,7.155916220290592,0.45641056137011304,-0.7795036,-2.2138894,4.651165,5
2010-12-22,1258.84,68471.0,1656800.0,1386.8,60.0,93.65,109910.0,168.8,1.6938,10.75,1215.225,69867.26666666666,1464286.6666666667,1376.8900024414063,304.0,88.2773328145345,157922.0,161.3133336385091,1.7033133308092754,10.75,1254.6,68215.0,1897400.0,1388.2,110.0,93.2,107660.0,169.0,1.6966,10.75,1340.43,67685.0,2147800.0,1384.7,110.0,102.59,210880.0,187.5,1.6653,11.25,6.8412242945959045,-0.7769552151286385,-0.25212765,-1.8448651,4.651165,5
2010-12-23,1256.77,68486.0,1229400.0,1380.0,100.0,94.25,96200.0,168.8,1.6976,10.75,1217.7713333333334,69797.33333333333,1446093.3333333333,1379.043339029948,303.0,88.62466608683268,155332.66666666666,162.1233337402344,1.702876663208008,10.75,1258.84,68471.0,1656800.0,1386.8,60.0,93.65,109910.0,168.8,1.6938,10.75,1343.01,68067.0,1944000.0,1388.2,100.0,102.52,209580.0,187.5,1.6669,11.25,6.686314384671599,-0.5900308159658807,0.10094643,-1.5881419,4.651165,5
2010-12-27,1257.54,67803.0,1035400.0,1382.4,320.0,93.85,38030.0,168.8,1.6914,10.75,1220.2043333333336,69736.2,1412733.3333333333,1380.3066731770834,300.0,88.97999954223633,152941.66666666666,162.9500005086263,1.7024499972661336,10.75,1256.77,68486.0,1229400.0,1380.0,100.0,94.25,96200.0,168.8,1.6976,10.75,1315.44,66440.0,3045400.0,1400.5,430.0,105.78,248650.0,187.7,1.6686,11.25,4.668316398386341,-2.9874718920655297,1.4855027,-1.7082989,4.651165,5
2010-12-28,1258.51,68041.0,0.0,1405.2,520.0,94.38,35350.0,168.8,1.6858,10.75,1222.6803333333332,69640.53333333334,1373620.0,1381.150008138021,308.3333333333333,89.33666610717773,147617.0,163.66000061035157,1.7021433313687642,10.75,1257.54,67803.0,1035400.0,1382.4,320.0,93.85,38030.0,168.8,1.6914,10.75,1307.4,66910.0,3335000.0,1413.4,320.0,111.25,258620.0,187.6,1.6712,11.25,3.964883820792986,-1.3170508679556936,2.2424817,-1.1942804,4.651165,4
2010-12-29,1259.78,68952.0,1307800.0,1413.1,40.0,94.14,78320.0,169.0,1.678,10.75,1225.1513333333335,69523.2,1321786.6666666667,1382.9833414713542,324.3333333333333,89.6619992574056,141728.66666666666,164.4200007120768,1.7015499949455262,10.75,1258.51,68041.0,0.0,1405.2,520.0,94.38,35350.0,168.8,1.6858,10.75,1306.1,66949.0,2699200.0,1415.3,70.0,111.36,305890.0,187.5,1.6641,11.25,3.7814558485828487,-1.6049146837935901,0.7187605,-1.287216,4.651165,4
2010-12-30,1257.88,69305.0,2102200.0,1405.6,190.0,93.09,110400.0,169.0,1.6654,10.75,1227.212,69424.76666666666,1293853.3333333333,1385.5166748046875,321.0,89.92066599527995,137809.66666666666,164.9366673787435,1.7010533293088277,10.75,1259.78,68952.0,1307800.0,1413.1,40.0,94.14,78320.0,169.0,1.678,10.75,1319.88,66903.0,2394600.0,1408.7,350.0,112.14,178320.0,187.5,1.6617,11.25,4.770674244709405,-2.9716324399582272,-0.31137466,-0.9713948,4.651165,5
2011-01-03,1271.87,69962.0,1862400.0,1422.6,30.0,94.84,82670.0,170.0,1.6502,10.75,1228.4393333333333,69301.73333333334,1291400.0,1386.280008951823,323.6666666666667,90.0903325398763,136476.0,165.35333404541015,1.7005299965540568,10.75,1257.88,69305.0,2102200.0,1405.6,190.0,93.09,110400.0,169.0,1.6654,10.75,1327.22,67383.0,2640400.0,1409.3,210.0,111.8,172910.0,187.2,1.6604,11.25,5.512449518237017,-2.7732486833561776,0.26323795,-0.3002286,4.651165,5
2011-01-04,1270.2,70318.0,2427200.0,1378.5,120.0,93.53,184630.0,172.1,1.6548,10.75,1229.9733333333331,69213.56666666667,1295746.6666666667,1387.12333984375,321.0,90.31466573079427,134877.33333333334,165.7433339436849,1.699559998512268,10.75,1271.87,69962.0,1862400.0,1422.6,30.0,94.84,82670.0,170.0,1.6502,10.75,1306.33,66243.0,2166400.0,1430.7,120.0,115.42,194430.0,173.4,1.6619,11.25,2.7093964005755256,-5.315742831822989,0.5693793,0.7090092,4.651165,4
2011-01-05,1276.56,71091.0,2309200.0,1373.4,180.0,95.5,212400.0,174.5,1.6705,10.75,1231.5383333333334,69135.6,1340733.3333333333,1386.313338216146,321.3333333333333,90.48366572062174,136797.66666666666,166.09666748046874,1.6981799999872844,10.75,1270.2,70318.0,2427200.0,1378.5,120.0,93.53,184630.0,172.1,1.6548,10.75,1308.44,67282.0,2518600.0,1437.2,1600.0,116.35,208290.0,172.0,1.6602,11.25,3.0105495197606746,-4.31752893995847,4.258251,0.3263235,4.651165,4
2011-01-06,1273.85,70579.0,2546000.0,1371.4,160.0,94.52,217450.0,173.5,1.6849,10.75,1233.6436666666666,69116.0,1367540.0,1385.1000040690103,324.6666666666667,90.72266565958658,137181.66666666666,166.51333414713542,1.6973233342170715,10.75,1276.56,71091.0,2309200.0,1373.4,180.0,95.5,212400.0,174.5,1.6705,10.75,1330.97,68146.0,2254600.0,1416.0,240.0,114.79,213740.0,173.0,1.6537,11.75,4.262236009274933,-4.142577822790505,3.10179,-1.0056913,9.30233,4
2011-01-07,1271.5,70057.0,1761000.0,1368.5,230.0,93.33,165970.0,173.5,1.6853,10.75,1235.4816666666666,69080.7,1452406.6666666667,1384.1766723632813,329.0,90.9079989115397,138351.0,167.04666748046876,1.696613335609436,10.75,1273.85,70579.0,2546000.0,1371.4,160.0,94.52,217450.0,173.5,1.6849,10.75,1321.15,68012.0,1840000.0,1428.2,60.0,115.97,167590.0,174.5,1.6454,11.75,3.7131530399968637,-3.63705918190963,4.141748,-2.344352,9.30233,4
2011-01-10,1269.75,70127.0,1610800.0,1373.7,180.0,95.7,165990.0,173.5,1.6904,10.75,1237.4136666666666,69042.76666666666,1466000.0,1383.02333984375,335.6666666666667,91.05866572062175,138381.33333333334,167.53000081380208,1.6955566684405008,10.75,1271.5,70057.0,1761000.0,1368.5,230.0,93.33,165970.0,173.5,1.6853,10.75,1320.02,67264.0,1407600.0,1429.3,100.0,115.94,191320.0,168.8,1.6551,11.75,3.815965395202525,-3.986753643461749,4.442823,-1.791966,9.30233,4
2011-01-11,1274.48,70423.0,2138000.0,1384.0,10.0,97.61,160420.0,175.0,1.6879,10.75,1239.7649999999999,69034.76666666666,1480073.3333333333,1383.3000040690104,335.6666666666667,91.3706657409668,138552.0,168.12000071207683,1.6946033358573913,10.75,1269.75,70127.0,1610800.0,1373.7,180.0,95.7,165990.0,173.5,1.6904,10.75,1295.11,66041.0,2375000.0,1412.2,20.0,115.43,201420.0,167.8,1.6604,11.75,1.99724355188029,-5.826571791178859,2.8026462,-1.7747283,9.30233,4
2011-01-12,1285.96,71633.0,2516000.0,1385.7,200.0,98.12,158640.0,176.0,1.6765,10.75,1242.9696666666669,69075.8,1476646.6666666667,1384.8233357747397,333.6666666666667,91.7999989827474,137292.33333333334,168.61000061035156,1.6932433327039083,10.75,1274.48,70423.0,2138000.0,1384.0,10.0,97.61,160420.0,175.0,1.6879,10.75,1304.28,66685.0,2491000.0,1421.5,20.0,113.84,165970.0,164.0,1.6641,11.75,2.3382085242608763,-5.30792496769521,2.7095318,-1.4100313,9.30233,4
2011-01-13,1283.76,70721.0,2237800.0,1386.9,70.0,98.06,96060.0,176.0,1.6693,10.75,1246.5486666666666,69139.93333333333,1560513.3333333333,1386.4533325195312,338.6666666666667,92.2946657816569,135394.66666666666,169.1933339436849,1.6914933323860168,10.75,1285.96,71633.0,2516000.0,1385.7,200.0,98.12,158640.0,176.0,1.6765,10.75,1296.39,67169.0,1874200.0,1424.6,60.0,113.67,125650.0,163.1,1.6623,11.75,0.8110672182649603,-6.231764689458775,2.8072476,-0.8469999,9.30233,4
2011-01-14,1293.24,70940.0,1806600.0,1360.4,250.0,98.68,20650.0,179.5,1.6835,10.75,1249.451,69137.93333333333,1572386.6666666667,1387.5866658528646,340.3333333333333,92.7283322652181,132464.0,169.7933339436849,1.690019996960958,10.75,1283.76,70721.0,2237800.0,1386.9,70.0,98.06,96060.0,176.0,1.6693,10.75,1281.87,67005.0,2852200.0,1392.6,20.0,108.52,101150.0,163.6,1.6684,11.75,-0.14722378014583315,-5.254450587519976,0.41098595,-0.0539124,9.30233,4
2011-01-19,1281.92,70058.0,1884800.0,1370.2,40.0,98.16,181440.0,179.0,1.6706,11.25,1252.568,69139.33333333333,1582393.3333333333,1387.860001627604,348.3333333333333,93.20633239746094,126230.33333333333,170.46000061035156,1.688866666952769,10.75,1293.24,70940.0,1806600.0,1360.4,250.0,98.68,20650.0,179.5,1.6835,10.75,1256.88,66003.0,3056800.0,1396.0,40.0,110.62,23230.0,167.7,1.6666,11.75,-2.8115431010485192,-6.959402311812801,2.6168704,-1.0038674,9.30233,4
2011-01-20,1280.26,69562.0,2169600.0,1346.5,10.0,96.58,218200.0,178.0,1.6707,11.25,1255.9409999999998,69209.5,1575866.6666666667,1387.6166666666666,349.0,93.70333251953124,126216.66666666667,171.06000061035155,1.686793335278829,10.766666666666667,1281.92,70058.0,1884800.0,1370.2,40.0,98.16,181440.0,179.0,1.6706,11.25,1273.72,66216.0,1985000.0,1404.0,30.0,114.9,184240.0,169.0,1.6749,11.75,-0.6396655017473774,-5.484027520054813,2.4667978,0.2573967,4.444444,4
2011-01-21,1283.35,69133.0,2071800.0,1341.0,20.0,97.6,161780.0,178.0,1.6715,11.25,1257.8986666666667,69210.66666666667,1577793.3333333333,1386.2166666666667,297.6666666666667,93.89966583251953,127299.0,171.42666727701823,1.6857466657956441,10.783333333333333,1280.26,69562.0,2169600.0,1346.5,10.0,96.58,218200.0,178.0,1.6707,11.25,1279.21,66880.0,2842800.0,1415.9,10.0,113.93,235370.0,168.9,1.6712,11.75,-0.08201459078623907,-3.8555533193410207,5.154109,0.029933453,4.444444,3
2011-01-27,1299.54,68051.0,2304400.0,1318.4,20.0,97.39,201580.0,179.5,1.6712,11.25,1259.9063333333334,69196.7,1646853.3333333333,1383.7399983723958,270.6666666666667,94.10466588338217,127950.0,171.72666727701824,1.6853699962298074,10.8,1283.35,69133.0,2071800.0,1341.0,20.0,97.6,161780.0,178.0,1.6715,11.25,1298.38,66690.0,2557400.0,1426.2,40.0,114.96,161340.0,169.3,1.6644,11.75,1.1711536213815599,-3.533768243819879,6.3534617,-0.42476654,4.444444,3
2011-02-02,1304.03,66688.0,2551400.0,1331.5,1360.0,102.34,182250.0,184.0,1.6663,11.25,1262.4326666666668,69153.8,1723666.6666666667,1380.7433308919271,242.33333333333334,94.30466588338216,127935.66666666667,172.04666748046876,1.6853066643079122,10.816666666666666,1299.54,68051.0,2304400.0,1318.4,20.0,97.39,201580.0,179.5,1.6712,11.25,1293.77,67578.0,2357800.0,1427.5,90.0,115.7,149460.0,170.0,1.663,11.75,-0.4440032626929491,-0.6950669350928029,8.275175,-0.49066544,4.444444,3
2011-02-03,1307.1,66765.0,2380800.0,1352.3,1870.0,101.76,162560.0,183.5,1.6689,11.25,1264.9576666666665,69104.23333333334,1719660.0,1379.043330891927,231.66666666666666,94.69033253987631,128330.33333333333,172.5433339436849,1.6845699985822042,10.833333333333334,1304.03,66688.0,2551400.0,1331.5,1360.0,102.34,182250.0,184.0,1.6663,11.25,1297.54,67796.0,2145600.0,1437.9,20.0,115.55,133350.0,170.0,1.6594,11.75,-0.49768793662722244,1.6614683301343636,7.990992,-0.4140973,4.444444,3
2011-02-04,1310.87,65269.0,2676800.0,1348.3,590.0,99.83,173530.0,183.5,1.673,11.25,1267.4276666666665,69067.1,1717446.6666666667,1377.7166666666667,261.6666666666667,95.04933268229166,129379.66666666667,173.06000061035155,1.6834800004959107,10.85,1307.1,66765.0,2380800.0,1352.3,1870.0,101.76,162560.0,183.5,1.6689,11.25,1309.66,67533.0,1819800.0,1434.8,30.0,115.72,165370.0,169.4,1.6585,11.75,0.19585341595900196,1.1503033026286191,6.100714,-0.62316656,4.444444,3
2011-02-07,1319.05,65362.0,1980400.0,1347.6,1000.0,99.25,193650.0,184.8,1.6768,11.25,1269.7766666666669,68964.66666666667,1806673.3333333333,1376.5166666666667,266.0,95.3609992980957,131126.0,173.5433339436849,1.6822166681289672,10.866666666666667,1310.87,65269.0,2676800.0,1348.3,590.0,99.83,173530.0,183.5,1.673,11.25,1310.19,67193.0,1444400.0,1419.8,10.0,114.8,138660.0,169.3,1.6606,11.75,-0.0518739463104545,2.9478006404265455,5.3029776,-0.74118376,4.444444,3
2011-02-09,1320.88,64218.0,2811400.0,1364.8,150.0,101.82,136430.0,185.5,1.6635,11.25,1272.3963333333334,68839.2,1872686.6666666667,1374.8599975585937,293.0,95.62966588338216,133313.0,174.07000071207682,1.681380001703898,10.883333333333333,1319.05,65362.0,1980400.0,1347.6,1000.0,99.25,193650.0,184.8,1.6768,11.25,1332.87,69704.0,1200.0,1432.2,680.0,121.06,172880.0,173.8,1.6102,11.75,1.0477237405708717,6.6430035800618015,6.2778234,-3.9718509,4.444444,1
2011-02-10,1321.87,64578.0,2356400.0,1361.9,310.0,100.87,130449.99999999999,188.0,1.6672,11.25,1275.0393333333334,68688.36666666667,1966400.0,1373.5666666666666,283.6666666666667,95.98333257039388,133890.66666666666,174.60333404541015,1.6803599993387859,10.9,1320.88,64218.0,2811400.0,1364.8,150.0,101.82,136430.0,185.5,1.6635,11.25,1335.54,69037.0,0.0,1457.7,900.0,122.3,154920.0,175.0,1.6089,11.75,1.1098661498395002,7.5041265688747805,6.8068504,-3.282237,4.444444,1
2011-02-11,1329.15,65756.0,2396400.0,1359.9,490.0,101.43,18900.0,188.0,1.6671,11.25,1277.9273333333333,68578.63333333333,1946200.0,1372.7800008138022,286.6666666666667,96.27233276367187,134534.66666666666,175.22000071207682,1.6793333331743876,10.916666666666666,1321.87,64578.0,2356400.0,1361.9,310.0,100.87,130449.99999999999,188.0,1.6672,11.25,1333.51,69176.0,0.0,1458.5,230.0,122.67,155320.0,179.3,1.5919,11.75,0.8805707066504409,7.1200718510948,7.0930243,-4.516554,4.444444,1
2011-02-14,1332.32,66558.0,1945000.0,1364.6,180.0,103.08,191740.0,188.5,1.6673,11.25,1280.8033333333333,68526.96666666666,1946033.3333333333,1372.430000813802,295.3333333333333,96.59633280436198,134472.0,175.85333404541015,1.6781699975331625,10.933333333333334,1329.15,65756.0,2396400.0,1359.9,490.0,101.43,18900.0,188.0,1.6671,11.25,1328.17,68718.0,2111400.0,1473.4,1410.0,126.65,153920.0,181.0,1.5754,11.75,-0.07373133205431648,4.504531905833686,8.3462,-5.500567,4.444444,3
2011-02-15,1328.01,66341.0,2355400.0,1373.6,320.0,101.64,184710.0,188.9,1.6674,11.25,1283.7503333333332,68479.53333333334,2010866.6666666667,1371.9633341471354,298.0,96.97666625976562,136670.66666666666,176.50333404541016,1.6767799973487854,10.95,1332.32,66558.0,1945000.0,1364.6,180.0,103.08,191740.0,188.5,1.6673,11.25,1324.46,68164.0,2173800.0,1467.4,380.0,123.98,169920.0,181.1,1.5797,11.75,-0.5899483607541667,2.4129330809218974,7.5333476,-5.2540007,4.444444,3
2011-02-16,1336.32,67571.0,2672400.0,1374.7,160.0,103.78,208420.0,187.8,1.6696,11.25,1286.4479999999999,68448.76666666666,2010953.3333333333,1371.5666666666666,304.3333333333333,97.27333297729493,139265.66666666666,177.16666717529296,1.675446665287018,10.966666666666667,1328.01,66341.0,2355400.0,1373.6,320.0,101.64,184710.0,188.9,1.6674,11.25,1314.16,66896.0,2525800.0,1452.9,350.0,120.92,207260.0,178.9,1.5862,11.75,-1.0429138334801635,0.8365867261572735,5.773151,-4.8698606,4.444444,3
2011-02-17,1340.43,67685.0,2147800.0,1384.7,110.0,102.59,210880.0,187.5,1.6653,11.25,1289.1719999999998,68427.3,2036786.6666666667,1371.1166666666666,306.0,97.62599970499674,142624.33333333334,177.7933339436849,1.6745466669400533,10.983333333333333,1336.32,67571.0,2672400.0,1374.7,160.0,103.78,208420.0,187.8,1.6696,11.25,1314.41,66486.0,2515200.0,1454.9,200.0,122.88,118990.0,178.8,1.5856,11.75,-1.6395773467432817,-1.6057184295037774,5.8340073,-5.0311446,4.444444,3
2011-02-18,1343.01,68067.0,1944000.0,1388.2,100.0,102.52,209580.0,187.5,1.6669,11.25,1291.8916666666667,68401.1,2053153.3333333333,1371.0466634114584,307.6666666666667,97.9239995320638,145990.0,178.41666717529296,1.6735966682434082,11.0,1340.43,67685.0,2147800.0,1384.7,110.0,102.59,210880.0,187.5,1.6653,11.25,1314.52,66279.0,2259000.0,1471.7,540.0,122.36,28240.0,179.0,1.5834,11.75,-1.9329618107622237,-2.0772697052522715,6.2829494,-4.9180326,4.444444,3
2011-02-22,1315.44,66440.0,3045400.0,1400.5,430.0,105.78,248650.0,187.7,1.6686,11.25,1294.7663333333333,68387.13333333333,2076973.3333333333,1371.3199951171875,307.6666666666667,98.19966608683268,149769.33333333334,179.04000040690104,1.6725733359654744,11.016666666666667,1343.01,68067.0,1944000.0,1388.2,100.0,102.52,209580.0,187.5,1.6669,11.25,1319.68,66684.0,2145800.0,1485.3,290.0,123.45,143880.0,179.1,1.5768,11.75,-1.7371426869494555,-2.0318215875534396,6.9946766,-5.405247,4.444444,3
